HEADER,fixture,sample,sourceNodes,targetNodes,rootMicroticks,persistentMicroticks,rootMutations,persistentMutationRow,address
PASS,period2_drain,samples=120,rootTicks=1956241,persistentTicks=9754,maxRootTicks=36805,maxTermSize=893289
FIXTURE,period2_mixed,samples=120,rootCap=1000000,persistentCap=100000,termCap=1000000
ROW,period2_mixed,0,175,183,1588,50,1,clockZero_pc0_phase0_emptyfalse,L
ROW,period2_mixed,1,183,195,1578,103,1,clockPositive_pc0_phase0_emptyfalse,L
ROW,period2_mixed,2,195,207,2399,49,1,clockZero_pc0_phase0_emptyfalse,LR
ROW,period2_mixed,3,207,361,2385,84,1,clockLaunch,
ROW,period2_mixed,4,361,515,1813,26,1,fuelPositive_pc1_phase0_emptyfalse,L
ROW,period2_mixed,5,515,705,2496,2,1,fuelPositive_pc3_phase0_emptyfalse,
ROW,period2_mixed,6,705,859,9152,58,1,fuelZero_pc1_phase0_emptyfalse,RL
ROW,period2_mixed,7,859,1017,14025,3,1,fuelZero_pc4_phase0_emptyfalse,RL
ROW,period2_mixed,8,1017,1207,17259,2,1,fuelZero_pc6_phase0_emptyfalse,R
ROW,period2_mixed,9,1207,1397,19232,2,1,fuelZero_pc8_phase0_emptyfalse,RL
ROW,period2_mixed,10,1397,1903,16562,2,1,fuelZero_pc10_phase0_emptyfalse,R
ROW,period2_mixed,11,1903,1903,28940,380,1,C4_bittrue_phase0,RLRLLRRRR
ROW,period2_mixed,12,1903,3457,27537,388,1,normalResponse_pc0_phase0_emptyfalse,
ROW,period2_mixed,13,3457,5011,581,2,1,normalResponse_pc2_phase0_emptyfalse,L
ROW,period2_mixed,14,5011,6565,949,4,1,normalResponse_pc6_phase0_emptyfalse,LL
ROW,period2_mixed,15,6565,8119,5441,2,1,normalResponse_pc8_phase0_emptyfalse,LLR
ROW,period2_mixed,16,8119,9673,5801,2,1,normalResponse_pc10_phase0_emptyfalse,LLRR
ROW,period2_mixed,17,9673,11227,6415,2,1,normalResponse_pc12_phase0_emptyfalse,LLRRL
ROW,period2_mixed,18,11227,12781,6014,2,1,normalResponse_pc14_phase0_emptyfalse,LLRRLR
ROW,period2_mixed,19,12781,14335,6162,2,1,normalResponse_pc16_phase0_emptyfalse,LLRRLRR
ROW,period2_mixed,20,14335,14351,15315,71,1,clockPositive_pc0_phase0_emptyfalse,RLL
ROW,period2_mixed,21,14351,14367,16125,22,1,clockPositive_pc0_phase0_emptyfalse,RLLR
ROW,period2_mixed,22,14367,14383,16172,49,1,clockZero_pc0_phase0_emptyfalse,RLLRR
ROW,period2_mixed,23,14383,14537,16148,101,1,clockLaunch,RL
ROW,period2_mixed,24,14537,14691,15550,26,1,fuelPositive_pc1_phase0_emptyfalse,RLL
ROW,period2_mixed,25,14691,14909,16195,2,1,fuelPositive_pc3_phase0_emptyfalse,RL
ROW,period2_mixed,26,14909,15063,23907,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRL
ROW,period2_mixed,27,15063,15281,26804,2,1,fuelPositive_pc3_phase0_emptyfalse,RLR
ROW,period2_mixed,28,15281,15435,25215,58,1,fuelZero_pc1_phase0_emptyfalse,RLRRL
ROW,period2_mixed,29,15435,15593,30088,3,1,fuelZero_pc4_phase0_emptyfalse,RLRRL
ROW,period2_mixed,30,15593,15811,33355,2,1,fuelZero_pc6_phase0_emptyfalse,RLRR
ROW,period2_mixed,31,15811,16029,35307,2,1,fuelZero_pc8_phase0_emptyfalse,RLRRL
ROW,period2_mixed,32,16029,16563,32658,2,1,fuelZero_pc10_phase0_emptyfalse,RLRR
ROW,period2_mixed,33,16563,16563,45510,380,1,C4_bittrue_phase0,RLRRLRLLRRRR
ROW,period2_mixed,34,16563,18229,44107,388,1,normalResponse_pc0_phase0_emptyfalse,RLR
ROW,period2_mixed,35,18229,19895,14352,2,1,normalResponse_pc2_phase0_emptyfalse,RLRL
ROW,period2_mixed,36,19895,21561,14552,4,1,normalResponse_pc6_phase0_emptyfalse,RLRLL
ROW,period2_mixed,37,21561,23227,22092,2,1,normalResponse_pc8_phase0_emptyfalse,RLRLLR
ROW,period2_mixed,38,23227,24893,22452,2,1,normalResponse_pc10_phase0_emptyfalse,RLRLLRR
ROW,period2_mixed,39,24893,26559,23066,2,1,normalResponse_pc12_phase0_emptyfalse,RLRLLRRL
ROW,period2_mixed,40,26559,28225,22665,2,1,normalResponse_pc14_phase0_emptyfalse,RLRLLRRLR
ROW,period2_mixed,41,28225,29891,22813,2,1,normalResponse_pc16_phase0_emptyfalse,RLRLLRRLRR
ROW,period2_mixed,42,29891,29909,18514,662,1,C4_bittrue_phase1,RLRLLRRLRRRRLRLLRRR
ROW,period2_mixed,43,29909,45297,19168,625,1,normalResponse_pc0_phase1_emptyfalse,RL
ROW,period2_mixed,44,45297,60685,14306,2,1,normalResponse_pc2_phase1_emptyfalse,RLL
ROW,period2_mixed,45,60685,76073,14666,4,1,normalResponse_pc6_phase1_emptyfalse,RLLL
ROW,period2_mixed,46,76073,91461,19374,2,1,normalResponse_pc8_phase1_emptyfalse,RLLLR
ROW,period2_mixed,47,91461,106849,19734,2,1,normalResponse_pc10_phase1_emptyfalse,RLLLRR
ROW,period2_mixed,48,106849,122237,20348,2,1,normalResponse_pc12_phase1_emptyfalse,RLLLRRR
ROW,period2_mixed,49,122237,137625,20658,2,1,normalResponse_pc14_phase1_emptyfalse,RLLLRRRR
ROW,period2_mixed,50,137625,153013,20886,2,1,normalResponse_pc16_phase1_emptyfalse,RLLLRRRRR
ROW,period2_mixed,51,153013,168401,21132,2,1,normalResponse_pc18_phase1_emptyfalse,RLLLRRRRRR
ROW,period2_mixed,52,168401,183807,21339,1,1,normalResponse_pc19_phase1_emptyfalse,RLLLRRRRRR
ROW,period2_mixed,53,183807,199213,21524,2,1,normalResponse_pc21_phase1_emptyfalse,RLLLRRRRRRL
ROW,period2_mixed,54,199213,214635,21743,1,1,normalResponse_pc22_phase1_emptyfalse,RLLLRRRRRRL
ROW,period2_mixed,55,214635,214789,20527,35,1,handoff_emptyfalse,RLRL
ROW,period2_mixed,56,214789,214943,19963,26,1,fuelPositive_pc1_phase0_emptyfalse,RLRLL
ROW,period2_mixed,57,214943,215141,20575,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRL
ROW,period2_mixed,58,215141,215295,28320,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRL
ROW,period2_mixed,59,215295,215493,31184,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLR
ROW,period2_mixed,60,215493,215647,29628,58,1,fuelZero_pc1_phase0_emptyfalse,RLRLRRL
ROW,period2_mixed,61,215647,215805,34501,3,1,fuelZero_pc4_phase0_emptyfalse,RLRLRRL
ROW,period2_mixed,62,215805,216003,37735,2,1,fuelZero_pc6_phase0_emptyfalse,RLRLRR
ROW,period2_mixed,63,216003,216201,39708,2,1,fuelZero_pc8_phase0_emptyfalse,RLRLRRL
