ROW,0,1,20,20,20
ROW,1,3,29,29,29
ROW,2,5,29,29,29
ROW,3,5,46,46,46
ROW,4,7,29,29,29
ROW,5,7,29,29,29
ROW,6,7,50,50,50
ROW,7,7,49,49,49
ROW,8,7,55,55,55
ROW,9,9,29,29,29
ROW,10,9,29,29,29
ROW,11,9,29,29,29
ROW,12,9,29,29,29
ROW,13,9,29,29,29
ROW,14,9,53,53,53
ROW,15,9,49,49,49
ROW,16,9,53,53,53
ROW,17,9,59,59,59
ROW,18,9,49,49,49
ROW,19,9,56,56,56
ROW,20,9,61,61,61
ROW,21,9,55,55,55
ROW,22,9,69,69,69
ROW,23,11,29,29,29
ROW,24,11,29,29,29
ROW,25,11,29,29,29
ROW,26,11,29,29,29
ROW,27,11,29,29,29
ROW,28,11,29,29,29
ROW,29,11,29,29,29
ROW,30,11,29,29,29
ROW,31,11,29,29,29
ROW,32,11,29,29,29
ROW,33,11,29,29,29
ROW,34,11,29,29,29
ROW,35,11,29,29,29
ROW,36,11,29,29,29
ROW,37,11,53,53,53
ROW,38,11,57,57,57
ROW,39,11,49,49,49
ROW,40,11,49,49,49
ROW,41,11,49,49,49
ROW,42,11,56,56,56
ROW,43,11,52,52,52
ROW,44,11,62,62,62
ROW,45,11,58,58,58
ROW,46,11,53,53,53
ROW,47,11,60,60,60
ROW,48,11,65,65,65
ROW,49,11,59,59,59
ROW,50,11,73,73,73
ROW,51,11,49,49,49
ROW,52,11,49,49,49
ROW,53,11,59,59,59
ROW,54,11,58,58,58
ROW,55,11,52,52,52
ROW,56,11,61,61,61
ROW,57,11,72,72,72
ROW,58,11,61,61,61
ROW,59,11,75,75,75
ROW,60,11,55,55,55
ROW,61,11,55,55,55
ROW,62,11,75,75,75
ROW,63,11,73,73,73
ROW,64,11,61,61,61
ROW,65,13,29,29,29
ROW,66,13,29,29,29
ROW,67,13,29,29,29
ROW,68,13,29,29,29
ROW,69,13,29,29,29
ROW,70,13,29,29,29
ROW,71,13,29,29,29
ROW,72,13,29,29,29
ROW,73,13,29,29,29
ROW,74,13,29,29,29
ROW,75,13,29,29,29
ROW,76,13,29,29,29
