HEADER,fixture,index,sourceNodes,syntacticRedexes,haltTag,microticks,mutations,address
ROW,period2_mixed,64,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1853,1,LL
ROW,period2_mixed,65,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,623,0,
ROW,period2_mixed,66,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,67,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,68,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,69,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,608,1,RRR
ROW,period2_mixed,70,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,71,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,72,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,73,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,603,1,RR
ROW,period2_mixed,74,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,75,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,76,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,603,1,RR
ROW,period2_mixed,77,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,603,1,RR
ROW,period2_mixed,78,13,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,610,1,RRL
ROW,period2_mixed,79,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,625,0,
ROW,period2_mixed,80,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
ROW,period2_mixed,81,13,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,627,0,
